Speaker,Dialogue,Eng_Translation,Start_Time,End_Time,Sarcasm_Label,Audio_Clip,,,end_time
Honest Inspector,"Sorun, sorun, sore jaan, sore jaan...",Move aside... Move aside...,1:09:56,1:09:55,0,Audio00211.mpeg,,,
"Barun Biswas
(Mastarda)","Ek minute Sir, ei ne, boita dhor... Ramkrishna 
Kothamrito, jele boshe porish, kaje lagbe, dhor... jaan 
sir...","Here, keep this book. Golden words of Ramkrishna.
Read it in the jail.Will help. Hold it.Take him sir.",1:09:52,1:09:36,1,Audio00212.mpeg,,,
Honest Inspector,Ei niye chol...,"Come on, get them.",1:09:36,1:09:35,0,Audio00213.mpeg,,,
"Police, Minister,
Police, Minister","Are dada, ei raattire..., Ja baire ja, baire...,
Achha dada..., Bhai...","Sir, so late at night?, Get out! Out!, Okay sir., Bhai",1:09:24,1:09:20,0,Audio00214.mpeg,,,
Prashanto,"Hmm.., bhai? Etokhone ashar somoy holo, Bhai?",Bhai? Now you've found time to come?,1:09:20,1:09:15,1,Audio00215.mpeg,,,
"Minister,
Prashanto","Are, tor jonnoi to chokkor katchilam, bujhli ki na?,
Hmm.., chokkorkatchile? Chokkor kete ki.. suni?","I was busy running around for you, got it?,
And what have you got now?",1:09:15,1:09:10,1,Audio00216.mpeg,,,
Minister,"Opor walar order, nahole toke tulte parto na bujhli ki 
na? Ar ei sob kichur mule hochhe oi notun incharge 
Jayanta Chakraborty","Orders from above. Or they couldn't have picked you 
up, and the main fellow behind all this is that new in 
charge Jayanta Chakraborty.",1:09:10,1:09:03,0,Audio00217.mpeg,,,
Prashanto,Oi sala...,That Rascal,1:09:03,1:09:01,0,Audio00218.mpeg,,,
"Minister, 
Prashanto, 
Minister","Chap nish na, Jayanta Chakraborty k tolar sob 
byabostha ami kore niyechi, tule nebe...,
Hmm.., maal ta dao.., Maal? Oh... ","Don't worry. I've taken care of Jayanta Chakraborty.
They'll pick him up., Give me my thing., Thing? Oh.",1:09:01,1:08:54,0,Audio00219.mpeg,,,
Prashanto,"Sala amak tuliyeche na, sala bohut pinek bereche, 
bohut pinek na, or pinek jodi na ami... tahole amr nam
sala Prashanto Mondol noy dada, sala keute dekheche 
na keuter beauty dekhe ni...","He got me into the lock-up! He is too brave isn't he? I'll 
shove up all that bravery, my name is Proshanto 
Mondol! Only seen me hiss,not seen the poison!",1:08:47,1:08:34,0,Audio00220.mpeg,,,
"Minister,
Prashanto","Sondhe sare attar local e bari fere..., 
Ebar ar firbe na...","Comes back home in the local train at 8:30pm.,
Won't anymore.",1:08:33,1:08:29,0,Audio00221.mpeg,,,
"Old Man, 
Barun Biswas
(Mastarda),
Old Man,
Barun Biswas
(Mastarda)","Baba acho? Baba.. baba acho na ki?, Achi..., 
Tuni re aj haspatal theke ghore ne elam..., Bah...","Son, are you there? Son, you there?, Here...., 
Tuni got back from the hospital today., Great! ",1:08:23,1:08:15,0,Audio00222.mpeg,,,
Old Man,"Tumi ja korecho na baba, haa.. tomar reen to konodin
shodh korar noy, tomar kakima bole j oi manushtake
taka poysa to tumi dite parbe na, ei naru kota oke 
diye dio.... ","I can never pay you back for what you did. Your aunt 
says, I can never give you money for your help. She 
sent some sweets.",1:08:14,1:08:02,0,Audio00223.mpeg,,,
"Barun Biswas
(Mastarda)","bah, chomotkar, ei bag tar moddhe dhukiye dao to...,
haa... ","Great!
Put it in the bag please....Sure.",1:08:02,1:07:58,0,Audio00224.mpeg,,,
Old Man,"Tumi ja korle na, gota ga to tomare niye dhonni dhonni
pore geche...",The entire village is talking about what you did!,1:07:57,1:07:53,0,Audio00225.mpeg,,,
"Barun Biswas
(Mastarda), 
Old Man","Ki j bolo, eto amar kaj... jao tumi jao..., Haa... ","It was only my duty. Now go on., Yes",1:07:53,1:07:50,0,Audio00226.mpeg,,,
Pradeep,"Mastarda, ekhane bosho...",Master da. Sit here,1:07:48,1:07:45,0,Audio00227.mpeg,,,
"Barun Biswas
(Mastarda)","Naa, tui bosh... bhalo kotha, ei Pradeep, amak boiyer
list ta dili na to...","No, you sit. Pradip, you did not give me the list of 
books.",1:07:45,1:07:40,0,Audio00228.mpeg,,,
Ashu Kaka,"Kader jonne koro, tumi boi ene debe, ar ora cinema
cinema ghurbe..","Why do you help them? You bring them books. And 
they loiter cinema halls.",1:07:37,1:07:33,1,Audio00229.mpeg,,,
"Barun Biswas
(Mastarda)","Apni ki bolchen Ashu kaka, apnar lok to ekhono eshe 
poucholo na, odike ami somosto bondobosto kore 
rekhechi...","But Ashu uncle, your men too haven't reached yet. I've 
made all preparations.",1:07:32,1:07:28,1,Audio00230.mpeg,,,
Ashu Kaka,"Ora eshe jabe, ar tomak koto bolbo, tumi amader 
gramer jonno ja koro,",They'll come. We're indebted to you for all that you do.,1:07:28,1:07:24,0,Audio00231.mpeg,,,
"Barun Biswas
(Mastarda)","Oshob kotha charun, ek kaj korun, aa.. na apnak kichu
korte hobe na, ami boroncho kal Nikhil er haat diye 
sobkichu pathiye debo apanr kache, thikache?","Chuck that. Do one thing... no, actually don't bother. I'll 
send Nikhil with everything. Okay?",1:07:23,1:07:17,0,Audio00232.mpeg,,,
"Ashu Kaka,
Barun Biswas
(Mastarda)","Thikache..., Ki? Hmm... Ki holo?","Fine..., What? What happened?",1:07:17,1:07:10,0,Audio00233.mpeg,,,
"Nikhil, 
Barun Biswas
(Mastarda), Nikhil","Tui ar bodlabi na..., Bodlabar proyojon nei to...,
Chaliye ja...","You won't change., There is no need to change.,
Go on then.",1:07:09,1:07:03,1,Audio00234.mpeg,,,
"Barun Biswas
(Mastarda)","Ei shon ajke, khoborer kagoje kichu
beriyeche naki re?",Was there anything in the newspapers today?,1:06:56,1:06:54,0,Audio00235.mpeg,,,
Nikhil,"Kolkatar kotha jani na tobe, ekhankar local
paper e ekta choto story beriyeche","Don't know about Kolkata but... there was a small story 
in today's local newspaper.",1:06:53,1:06:49,1,Audio00236.mpeg,,,
"1 Boy, 2 Boy,
3 Boy","Mone hochhe, ami parbo na re, Amaro, kintu takata?,
Bhoy pash na, asche, ready thak","I don't think I can do it., Same here. But the money?,
Don't be scared. They're coming. Get ready.",1:06:48,1:06:40,0,Audio00237.mpeg,,,
"Barun Biswas
(Mastarda)","Robi dar dokan theke ajker sandhyo kagojta
niye ay na, ","Get the evening newspaper from Robi da's shop., ",1:06:39,1:06:35,0,Audio00238.mpeg,,,
"Nikhil, Kingshuk,
 Nikhil ","Achha, Ami jabo, tor sathe?, Chole ay ","Okay, Should I come along., Sure come, I'll be back",1:06:34,1:06:32,0,Audio00239.mpeg,,,
"Kingshuk,
Barun Biswas
(Mastarda), 
Kinghshuk","Aschi. , Ja, tora ay ami stand theke bike ta bar korchi.
Ei shon..., Haa??","Go. I'll go get the bike out from the stand. Listen..., 
Yes??",1:06:31,1:06:23,0,Audio00240.mpeg,,,
"Barun Biswas
(Mastarda), 
Kingshuk, 1 Boy ","Robi da, ager kichu taka pay bujhli, diye dish
to mone kore, sunte peyechish?, 
Haa, thikache, Mastarda","I owe Robi da some money. Clear the due.Heard me?,
Okay, Masterda",1:06:22,1:06:17,0,Audio00241.mpeg,,,
"Barun Biswas
(Mastarda)","Ha, bol, ahhh....","Yes, tell me. ahh...",1:06:16,1:06:12,0,Audio00242.mpeg,,,
"1 Boy, Nikhil
Barun Biswas
(Mastarda)","Pala..., mastar... bachan..., Kingshuk...","Run..., Master... Please help someone! Please!, 
Kingshuk...",1:06:03,1:05:57,0,Audio00243.mpeg,,,
"Nikhil, 
Barun Biswas
(Mastarda)","Mastar... mastar... ki holo? Mastar... please keu help
korun na, please..., Ami, ami apnader Barun...","Master! What happened! Please help someone! 
Please!, I'm your Barun.",1:05:57,1:05:49,0,Audio00244.mpeg,,,
"Nikhil, 
Barun Biswas
(Mastarda), Nikhil","Mastar..., Ektu... husshh...,
Mastar.. ei mastar... mastar... e mastar... mastar...","Mastar..., Please silence..., 
Mastar.. mastar... mastar...  mastar... mastar...",1:05:48,1:05:40,0,Audio00245.mpeg,,,
"Nikhil, Barun 
Biswas
(Mastarda)",Mastar... Ar... ar chinta nei...,No worries now,1:05:39,1:05:37,0,Audio00246.mpeg,,,
Koyek din por,,Few days later,1:04:56,1:04:53,N/A,N/A,,,
Someone,Kare khujchen? Bhayn lagbe naki? Kothay jaben? ,Looking for someone? Need a van? Where to?,1:03:49,1:03:40,0,Audio00247.mpeg,,,
"Binod Sir,
Someone","Dukhiya... Barun Biswas er bari..., Apni?","Dukhiya.Barun Biswas's place., You?",1:03:39,1:03:35,0,Audio00248.mpeg,,,
"Binod Sir,
Someone,
Binod Sir","Barun ar ami, ek e school e sikkhakota kortam...,
Nomoshkar..., Nomoshkar...","Barun and I used to teach in the same school.,
Namaskar..., Namaskar...",1:03:34,1:03:30,0,Audio00249.mpeg,,,
"Someone,
Binod Sir","Ashun..., Achha... Barun ke morte holo keno?","Come..., Why did Barun have to die?",1:03:29,1:03:25,0,Audio00250.mpeg,,,
Someone,"Ashen... Maa.. maa Surekha... maa... ay ma... ay... ay..
amr ma Surekha, apni jiggasha korchilen na Mastar
moshai keno mara gelen? Eo ekta karon... dekhte 
passen, haramjadara amar mayere, ora mayereo 
chare na... ","Honey. Surekha. Come out dear. Come. My daughter, 
Surekha. Weren't you asking why Master had to die? 
This too is a reason. Can you see? What they did with 
my little girl!They don't leave mothers too.",1:03:16,1:02:37,0,Audio00251.mpeg,,,
"Durga, Someone","Surekha, kaka... Barundar mrityur jonno ajke amader 
somabesh ache, tarpor amra thana gherao korbo. 
Kingshuk eshe toke niye jabe, kaka tumi ashbe kintu. ,  
Mastar moshaier iskuler bondhu kolkata theke 
eshesen...","Meeting for Barun da's death. Then to the police 
station. Kingshuk will take you.You will come too. And.. 
Master's friend from the school, he's come from 
Kolkata.",1:02:31,1:02:15,0,Audio00252.mpeg,,,
"Binod Sir, Durga","Durga? , Parle apnio ashben...
Kake haralam amra, Barundake? J Barunda amader 
gramer torun projonmer kache ekjon adorsho, 
hingsheke konodino prosroy deye ni, bonduk haate 
neta hote hoy ni Barundake, bonduker bodole kolom
tule nite beshi bhalobasten. Bolten, Durga kolomer 
cheye beshi jor ar kichute nei re, ar shei Barundake 
jara mere fello, tader aj obdhi kono shasti hoy ni, 
jokhon Barunda chole gelo, tokhon mone hochhilo, 
amra kichu korte parbo na ei janowar gulor biruddhe, 
ar ki ba korbo? Tokhon Barundar bola ekta kotha mone
pore gelo, Barunda amy barbar bolto, eta chokher jol
felar somoy na re Durga, eta chokher jolke agune
porinoto korar somoy, tora meyera emon anek kichu 
korte parish jeta amra chelera korte pari na, Barunda
amader sobaike Swami Bibekanandar kotha 
sikhiyeche, Utthishtito jagroto prappo bora nibodhoto,
amra jodi matha uchiye darate pari, taholei ekmatro
doshira tader prappo shasti pabe. Amra maar khete ba
protibaad korte pichopa hobo na, apnara ki achen 
amader sathe?","Durga? , Come if you can.
Who did we lose? Barun da? The same man who's an 
idol to our village's young generation? Never supported 
violence, nor took up a gun or became a leader. He 
loved the pen over the gun. He'd say, ""Durga... there is 
nothing mightier than the pen. ""And those who killed 
this man aren't punished even today! When he died I 
thought, we could no more do anything about those 
beasts. And what could we do? Then I remembered 
something he had told me. He would often tell me, 
""Not the time to shed tears, Durga.""""This is the time to 
make fire out of the tears.There is much more you 
women,can do, that we men can't. ""Barun da taught us 
Swami Vivekananda's teachings. Get up. Wake up.
Realise what you deserve. Only if we stand up shall t
he criminals be punished. We won't back out from 
getting beaten up or from revolting.Are you with us?",1:02:07,1:00:48,0,Audio00253.mpeg,,,
Sobai (Everyone),"Haa achi... amra sobai achi... amra sobai thakbo...
amra sobai thakbo... amra sobai thakbo...",Yes! We are all there!We will all be there!,1:00:48,1:00:40,0,Audio00254.mpeg,,,
"Durga,
Sobai (Everyone)","Barun Biswas er mrittyur oporadhider obilombe shasti
chai..., Shasti chai... shasti chai...","Punish the killers of Barun Biswas right away!,
Right now! Right now!",1:00:33,1:00:29,0,Audio00255.mpeg,,,
"Police,
Sobai (Everyone)
, Police ","Ray, ei Ray..., 
Shasti chai... shasti chai..., 
Dekho, dekho..","Ray! Hey Ray!,
Right now! Right now!,
See what's happening!",1:00:24,1:00:19,0,Audio00256.mpeg,,,
"Arun,
Sobai (Everyone)","Police, shasti tomy ditei hobe...,
Ditei hobe.. ditei hobe...","The police will have to punish!,
Have to...Have to...",1:00:18,1:00:15,0,Audio00257.mpeg,,,
"Arun,
Sobai (Everyone)
, Police","Shasti tomy ditei hobe..., 
Ditei hobe.. ditei hobe...,
Hobe.. hobe.. hobe...","You have to punish them,
Have to...Have to...,
Have to have to",1:00:10,1:00:07,0,Audio00258.mpeg,,,
"Sobai (Everyone)
, Police, Ray","Ditei hobe.. ditei hobe...,
Ektu samlao to, ektu samlao, ami ekkhuni aschi,
Hobe.. hobe.. hobe... aschi...","You have to punish them, Stop them!, 
The police will have to punish! I will be back",1:00:06,1:00:00,0,Audio00259.mpeg,,,
"Nikhil,
Sobai (Everyone)","Barun Biswas amra tomy bhulchi na, bhulbo na...,
Bhulchi na, bhulbo na...","Barun Biswas, we won't forget you!,
We won't forget you",0:59:59,0:59:56,0,Audio00260.mpeg,,,
"Durga,
Sobai (Everyone)","Barun Biswas er mrittyur oporadhider obilombe shasti
chai..., Shasti chai... shasti chai...","Punish the killers of Barun Biswas right away!,
Right now! Right now!",0:59:55,0:59:51,0,Audio00261.mpeg,,,
Nikhil,"Janen, ei press thekei rajye leaflet gulo chapano 
hoyechilo. Ei to sedin, ekhono obak lage janen, Barun 
eshe ekhanei bosto, boshe kauk kotha bolte dito na, o
nijei bole jeto, [Mastar: Achha shon, bolchi j Ajit kakar
meyer sorirta kichutei bhalo hochhe na, Kolkatay niye
giye checkup ta korate hobe, tar jonno ei hajar du ek 
takar moto lagbe, achha hain, Pradeep er boigulo 
ekhono kena baki tar jonno hajar khanek moto lagbe,
Durga ekta kaj kor, tui sobaike bole de j amr ei tin 
charek badei maine hoye jabe, tokhon sob kichu thik 
hobe thikache? Durga: Hmm]  Arajokotar dipo hoye 
uthechilo ei gramta Barun suru korlo raat jege tohol 
deowa, sob barir daitto jeno or ekar, or bike er aowaj
peye sobai nischinte ghumate jeto, tara janto j tader
pashe keu na thakuk Barun Biswas thik ache, othocho
Barun ke jara mere fello tara ekhono shantite 
ghumochhe.","This is the press where we stayed up to print the 
leaflets.The memories are still fresh, I still feel weird! 
Barun would sit here. He wouldn't let anyone speak. 
He would go on speaking. Ajit uncle's daughter isn't 
improving, we've to take her to Kolkata.That would 
need two thousand,have to buy Pradip's books too. 
Another thousand for that. Durga, do one thing... tell 
everyone I'll get my salary in 4 days. Then I'll take 
care of it. This village had become a pit of anarchy! 
Barun started prowling the village roads at night. 
Took up the responsibility for all the houses. People 
would feel safe with the sound of his bike and sleep.
They knew, whatever happened Barun Biswas, was 
there. But Barun's murderers are sleeping in peace 
right now.",0:59:43,0:58:54,0,Audio00262.mpeg,,,
Binod Sir,"[Manusher smriti boro bishash ghatok sir, ajke sobai 
Barun Biswas ke niye kotha bolbe, kal jodi Amitabh
Bachhan ar Shah rukh Khan ashe, tokhon dekhben 
Barun Biswas er ar kono jayega thakbe na, haa... 
jokhon jetar bibhor] Barun... kemon acho Barun?","The public has a very bad memory sir. 
Today they're talking about Barun Biswas. A film-star 
comes tomorrow,Barun Biswas will find no place. 
Whatever is the flavor of the season. Barun! How are 
you Barun?",0:58:51,0:57:58,0,Audio00263.mpeg,,,
"Barun Biswas
(Mastarda)","Bhalo Sir, Apni?",Good sir. And you?,0:57:56,0:57:55,0,Audio00264.mpeg,,,
Binod Sir,"Bhalo na.. achha Barun, jader jonno tumi eto kichu 
korle, tara mulyo debe?","Not good. Do you think the people you worked so hard 
for, they'll pay back?",0:57:53,0:57:45,0,Audio00265.mpeg,,,
"Barun Biswas
(Mastarda)","A nation is known by it's citizen, a civilization by it's 
humanity and a society by it's....","A nation is known by it's citizen, a civilization by it's 
humanity and a society by it's....",0:57:42,0:57:35,0,Audio00266.mpeg,,,
"Binod Sir
Barun Biswas
(Mastarda)","people, not by the hypocrites, 
Exactly","people, not by the hypocrites, 
Exactly",0:57:35,0:57:31,0,Audio00267.mpeg,,,
"Binod Sir,
Barun Biswas
(Mastarda)","Barun, ami tomar moto hote chai... tomar moto...,
Choli sir... ","Barun...I want to be like you!Like you!,
Bye Sir",0:57:30,0:57:22,0,Audio00268.mpeg,,,
Durga,"Ora abar chara peye gelo, tai na sir? Achha Sir, oder 
konodin kono shasti hobe na na? Amar opor otyachar,
gramer meyeder opor otyachar, Barun dar opor annay
aghat, tader konodin kono bichar hobe na...","They're free again.Right sir? Sir, won't they ever be 
punished? What they did to me and other village 
women, to Barun da... all those criminals will never 
be punished?",0:56:46,0:56:32,0,Audio00269.mpeg,,,
"Binod Sir,
Prashanto's 
Group","Kanna bhiruder jonne, tomar moto birangonar jonno 
noy Durga. Tomader Barun to tomader kadte sekhay 
ni, lorai korte sikhiyeche, tai bhoy noy, kanna noy, 
sobsomoy mone rakhbe, 'Chitto jetha bhoy sunno, 
uchho jetha shir, gyan jetha mukto, jetha griher 
prachir, apono prangonotole dibosho sorbori, boshu 
dhare rakhe nai, khondo khudro kori.' 
Apnara sunben? Barun, Barun Biswas, j  ekdin 
ekhane dariye apnader bolechilo protibaad korte, ek 
hoye darate, mone ache apnader? Mone ache? Shei 
Barun Biswas aj ar nei, kintu j Barun, jader 
otyacharer biruddhe protibaad korechilo, jara take 
hottya korechilo, tader kono shasti holo na. Tara 
chara paowar anonde, abir uriye bajna bajiye utsob 
korche. E ki bichar? J Barun apnader shostir 
jonnnenije ashshostite bhuglo saratajibon, j Barun 
apnadrr jonno jibon dilo, take jara hottya korlo, 
shei hottyakarira shasti pak. Eta apnara chan na? ,
Ei.. hutt.. hutt... sor","Tears are for the coward. Not for brave women like  
you, Durga. Your Barun did not teach you to cry. He 
has taught you to fight. So, don't be scared. Do not 
shed tears. Always remember... Where the mind is 
without fear and the head is held high Where 
knowledge is free, where the world has not been 
broken up into fragments Please listen!Barun... Barun 
Biswas. He, who stood here one day asking you to 
revolt. To unite! Do you remember that Barun Biswas 
is no more today? But those, who's oppressions he 
revolted against, those, who killed him, they have not 
been punished! They're celebrating their freedom 
with colours and music! Barun, who remained 
worried for you all his life... Who's that? Don't you 
want his killers to be punished? ,
Hey move aside!",0:56:28,0:55:07,0,Audio00270.mpeg,,,
Binod Sir,"Barun manusher mongol cheyechilo, apnara protibaad
korben na? Ashun, amra abar thanay jai, abar 
protibaad gore tuli, grame grame ei otyachar, narider 
opor ei nirjaton, er bichar hobe na? Bichar hobe na er? 
Jara oporadhi, shei janowargula gon...","He wanted our well-being, won't you revolt? Come, 
let's go to the police. Let's build another revolt! 
Oppression in every village loss of dignity of the 
women won't all this get justice? Those criminals 
are now...",0:55:04,0:54:46,0,Audio00271.mpeg,,,
"Prashanto's 
Group",Ei Sala.. ei...,You bloody moron...,0:54:45,0:54:42,0,Audio00272.mpeg,,,
Prashanto ,"Barun er baap to more geche, tui sala ghater mora k 
re, tui ki Barun er oboidho baap naki ? Ha, ha..","Barun's dad is dead. Who on earth are you? He is 
illegitimate father are you? ha...ha...",0:54:34,0:54:28,1,Audio00273.mpeg,,,
Animesh,"Ashun, uthun, uthun... dhorun... ektu jiriye nin, sobeto
first round, takiye labh nei, ei boshh thobra apnar 
chena noy, kobi bolechilen mela ben, tini melaben, ami
mo boli na, ko boli, tini kelaben, tini kelaben, cholun...","Take my hand. Get up!Here. Take a breather. Only the 
first round. No point looking. You don't know this 
infamous face. The poet said, 'He will FIT it all'. I use 
an 'H' instead. He will Hit it all. Let's go...",0:53:45,0:53:05,1,Audio00274.mpeg,,,
Binod Sir,Kothay?,Where?,0:53:05,0:53:04,0,Audio00275.mpeg,,,
Animesh,"Kelate, tobe daat noy, ami duto jinish e biswas kori, 
laath, haath, ashun...","To hit... it at the right place? I believe in two things, a 
hard punch and a hard kick.Come.",0:53:04,0:52:55,1,Audio00276.mpeg,,,
Police,"Are ki j bolen na, mukhe pechhap kore diyeche, eta 
ekta complain holo? Ha,ha,ha...","What nonsense! He peed on your face, that's the 
complaint?ha ha ha",0:52:47,0:52:42,1,Audio00277.mpeg,,,
Binod Sir,Apni thatta korchen?,You're kidding here?,0:52:41,0:52:40,0,Audio00278.mpeg,,,
1 Police,"Are dhurr, obak hochhi, obak, eta ekta tuchho bepar,
ar ditiyo kotha hochhe bajarta to amader thanar under 
ei pore na... ki Ray? Bojhan, bojhan...","No, I'm just surprised! This is such a silly thing! And 
the market area isn't ours. Explain to him.",0:52:40,0:52:29,1,Audio00279.mpeg,,,
"2 Police, 
Binod Sir,
2 Police","Kotobar bolbo? Oi bajar elaka amar thanar aotay pore 
na, ebar ki golay board jhuliye berabo...,
To kader aotay pore?, Oi, Dulanpur, ","Told you that market area isn't under our police 
station. Want me to hang a board?, 
Under who is it then?, Err... Dulanpur.",0:52:23,0:52:15,0,Audio00280.mpeg,,,
"Binod Sir,
2 Police, 
Binod Sir","Ta, Dulanpur thekeo to  bollo j bajar elaka tader aotay
pore na , 
Tahole, Laudiya, Laudhiya?","Dulanpur said it is not under them.,
Laudiha station then., Laudhiya?",0:52:14,0:52:10,0,Audio00281.mpeg,,,
"Animesh,
Binod Sir","Laudhiya, ki? Cholun...,
Bajare kadar moddhe fele amar mukhe proshrab kore 
dilo","Laudiha? Okay. Let's go., 
He pushed me to the ground and peed on me!",0:52:04,0:51:58,0,Audio00282.mpeg,,,
3 Police,"Ta apnari ki dorkar chilo moshai, aann, oshob boro 
boro lecture marte jaowar, ar tachara oi bajarta 
amader thanar aotay pore na","And why did you have to give that lecture? Besides, 
market is not our area.",0:51:58,0:51:52,0,Audio00283.mpeg,,,
Binod Sir,"Jekhainei jachhi sekhanei to bolche tar aotay pore na,
tahole kar aotay pore??","Everyone is saying the same thing. Who is it under 
then?",0:51:52,0:51:49,0,Audio00284.mpeg,,,
"3 Police,
Binod Sir","Bajarta? Ota Prashanto Mondol ar Ashim Mondol er 
aotay,
Prashanto Mondol ei kaj ta korlo, othocho tar e aotay
pore?","The market? It is under Proshanto and Ashim Mondol.,
Proshanto Mondol did this. And it is under him?",0:51:47,0:51:41,1,Audio00285.mpeg,,,
3 Police,"Khub j Prashanto Mondol, Prashanto Mondol korchen,
apni janen Prashanto Mondol k?","Now that you're shouting his name, do you know who 
he is?",0:51:40,0:51:37,1,Audio00286.mpeg,,,
"Animesh,
3 Police","K?,
Hunn...","Who is he?,
Hunn...",0:51:35,0:51:33,0,Audio00287.mpeg,,,
Animesh,"Ei j, Prashanto Mondol Maalta k? Munmun Singha na
Bibekananda?","Who is this Proshanto Mondol? Manmohan Singh or 
Vivekananda?",0:51:31,0:51:28,1,Audio00288.mpeg,,,
3 Police,"Ei j, apni khub j chatang chatang kotha bolchen, 
ekdom mere na...","Hey you! Acting smart? Will thrash you to dirt! You son 
of a gun!
",0:51:27,0:51:23,1,Audio00289.mpeg,,,
"Animesh,
3 Police","Shon, shon, Animesh Dutta, Special Branch,
Sir...","Listen! Animesh Dutta.Special Branch.,
Sir...",0:51:11,0:51:06,0,Audio00290.mpeg,,,
"Animesh,
3 Police ","E thana bolche o thana, o thana bolche se thana, ekta
kaj korun, table chair gulo tule nin, tule niye giye tin 
thanar majhkhane gacher tolay giye patun, kal theke 
ota hobe thana, eta hobe beauty parlour, facial, takiyal,
ho ho..., gramer daittye thakbo ami, ar amr daittye tin
thanar officer, hmm, ar ekta jinish bhalo kore mogoje
dhukiye nin...,
Sir...","Wrap up the furnitures.Set it under the tree between all 
three police stations. That'll be the police station and 
this, a beauty parlour. Facials and all that! I'm in 
charge of the village and the 3 officers under me. And 
print this in your mind,,
Sir",0:51:05,0:50:43,1,Audio00291.mpeg,,,
Animesh,"Jodi beshi baren bar, mere fatiye debo, hmm, orom 
kore takanor kichu hoy ni dadu, era thake bole na, 
protteke more jaye, oboshyo ora to eibhabei more, 
chole ashun dadu, cha biscuit khawabe na chole 
ashun...
Haa, bolun kar ki somoshya ache? Ashun, ashun..","if you act over smart... will grind you to dirt! Don't give 
me that look Grandpa! Treat them any better and 
they'll sit on your head.Come along Grandpa, they 
won't feed you snacks. Yes, tell me the problems. 
Come.",0:50:43,0:50:17,1,Audio00292.mpeg,,,
1 Person,"Sir, party office banabe bole amar jomita chaiche, ami 
jokhon baron korchi, amake bhoy dekhachhe, amar 
bou bachhar gaye o haat dichhe...","They want to make a Party office in my land. 
Threatening me if I refuse! Even insulting my 
family!-",0:50:16,0:50:10,0,Audio00293.mpeg,,,
Animesh,"Jah sala, eta ekta somoshya holo? Er por kichu bolte 
ele dhore deben ek kanthappi, tarpor amay eshe 
bolben. Are ei to Mr. Bachhan, saatsokale sejeguje
kothay chollen? Shooting ache?","Is this a problem? If it happens again, give one tight 
slap and then tell me. Hello Mr.Bachhan! Where you 
off to so early?",0:50:10,0:49:59,1,Audio00294.mpeg,,,
Binod Sir,"Kolkatay. O jabe Lawyer er kache, ami jabo Media r 
kache, dekhben ebare Media k kibhabe nariye di, ora
abar greftar hobe, thik shasti hobe
Porichoy koriye di, e hochhe Durga, ar uni hochhen...","To Kolkata. She is going to the lawyer and I'm going to 
the media. Wait and watch, I'll shaken the media again! 
They'll be arrested and punished again!I'll introduce...
Yes!She's Durga.And he is...",0:49:59,0:49:42,0,Audio00295.mpeg,,,
Animesh,"Hmm, Hehe, Animesh Dutta, Special Branch",Animesh Dutta. Special Branch.,0:49:38,0:49:35,0,Audio00296.mpeg,,,
"Durga,
Animesh,
Durga,
Animesh","Special Branch?,
Haaa...,
Ekta proshner uttor din to...,
Haa...","Special Branch?,
Yess...,
Answer one question of mine.,
Sure!",0:49:33,0:49:29,0,Audio00297.mpeg,,,
Durga,"Ei Prashanto, Haran, Ranajit, Makhan, Shekhar eder
konodin kono shasti hobe?","Proshanto, Haran, Ronojit, Makhon,will they ever be 
punished?",0:49:28,0:49:25,0,Audio00298.mpeg,,,
"Animesh,
Binod Sir","Ektu ashun, apnio ashun, ashun ashun, ashun, 
ekhanta daran, ami ektu boshchi. Mon diye dekhben, 
ei mone korun poschimbongo, ei mone korun ami, ei
mone korun Prashanto, sangshod hoye Delhi chole
jachhe, ei mone korun amar bou amar barite ranna 
korche, ei mone korun, amar transfer hoye jachhe, ei
mone korun, ekhon amar bou amar barite na Andaman
e ranna korche, tarmane amar body Andaman e hoye
jachhe, haa, kimbhut ki mohan byapar...,
Cholo...","Please come with me.You too, please.Come. Please 
stand here and I'll sit.Concentrate. This is West Bengal, 
this is me. This is Proshanto going to Delhi as Member 
of Assembly. This is my wife cooking at home, this is 
me getting a transfer.  And this is my wife, not at my 
home, at Andaman now. So I have been transferred to 
Andaman.A jumbled up situation!,
Let's go",0:49:24,0:48:50,1,Audio00299.mpeg,,,
Animesh,"Durga durgotinashini, e grame age keno ashini","The demon slayer, Durga! Why didn't I come here 
earlier?",0:48:45,0:48:41,1,Audio00300.mpeg,,,
"1 Girl, Binod Sir,
1 Girl, Binod Sir,
1 Girl, Binod Sir","Ha ki bolchilen?, Bolchilam j, Barun Biswas er..., 
Ami bolchilam na, ajke montrider biye ache..., 
Jani, seta jani..., Are rochur guest ashbe..., 
Thikache, kintu...","What were you saying?, About Barun Biswas..., 
The Minister's daughter is getting married today. , 
Yes i Know, Loads of guests!, Ok but...",0:48:35,0:48:28,0,Audio00301.mpeg,,,
"1 Girl, Binod Sir,
1 Girl","Are amra Media party, Haa, thikache kintu eta..., 
Pore hobe, ami kotha dilam pore hobe...","We're media partners., Yes,but this....,
I promise this will happen later.",0:48:27,0:48:24,0,Audio00302.mpeg,,,
