 ,Episode,Speaker,Dialogue,Eng_Translation,Start_Time,End_Time,Sarcasm_Label,Audio_Clip
,,Ins. Asim,"Ei, sala! Chol!",Come on!,0:02:43,0:02:37,0,AudioS200430.mpeg
S2,E4,Police,"Bol sala! Bol! Baki do kaha hain bata? Kaha se aye
ho tumlog? ","Speak! Where are the other two? Where did you 
come from?",0:31:54,0:31:49,0,AudioS200431.mpeg
,,"Dakaiot, Police","Humko kuch nehi malum hain, Sahab , 
Nehi Malum?","I don’t know anything, sir. , You don’t know?",0:31:48,0:31:47,0,AudioS200432.mpeg
,,Dakaiot,"Nehi malum hain... nehi malum! Hey Bh****ke! 
chorr humke! Tor g**nd e guli marbo 
b**nchod!","I don't know… I don't know!
Hey bastard! Let me go!
I'll shoot you in the ass, you bastard!",0:31:46,0:31:38,0,AudioS200433.mpeg
,,Police,"Dulha Dulhan ko mara! Sona luta haan? 
Bata, bata sala! Ei kar jonno kaj korish, bol?","You killed bride- grrom! You looted the gold, huh? 
Speak! Speak, you bastard!",0:31:33,0:31:24,0,AudioS200434.mpeg
,,"Dakaiot, Police","Ami kuchu jani na! , Kuchu jano na?","Sir, I don’t know anything! , Oh really?",0:31:23,0:31:22,0,AudioS200435.mpeg
,,"Paritosh Sarkar,
Dakaiot","Ishh... Ki kelan kelieche... Pashan, pashan! puro 
pashan! , Hain koun tu?","What a mess you’ve made… heartless, heartless! 
Oh you heartless man! , Who are you?",0:30:45,0:30:27,0,AudioS200436.mpeg
,,Paritosh Sarkar,Paribesh-bondhu Paritosh Sarkar! ,"Now you act like an environmentalist, Paritosh 
Sarkar…",0:30:26,0:30:24,0,AudioS200437.mpeg
,,Dakaiot,O Daroga-go ko hum chorenge nehi! Nehi chorenge!,Oh inspector… you face-hiding… you rascal!,0:30:22,0:30:20,0,AudioS200438.mpeg
,,Paritosh Sarkar,"Gorom ami toke thik somoy kore debo... age nijer 
paye dara.... khub betha? Thik hoye jabe, thik hoye
jabe. Janish to jibone jokhon prothom jail e elam na
bhablam, sob khela sesh. Tarpor dekhlam j sala ei
jail ei to khelata suru! J ashe lonkay, shei hoy 
Rabon! Ei ne, ne, kotha bol. Are bol! Ha kore 
dekhchis ki? Bol!","I’ll deal with you properly at the right time… first stand 
on your own feet. The whole game was over… then I 
saw the game actually begins inside this jail! Whoever 
comes to Lanka becomes Ravana. Here it is, Here… 
speak! Come on, speak! Why are you staring with 
your mouth open? Speak!",0:30:14,0:29:30,0,AudioS200439.mpeg
,,"Dakaiot, 
Dakaiot Lead, 
Dakaiot","Hello? , Bhai tui thikachish? , Ha.. tum sab thik?","Hello? , Brother, are you okay? , Yes… are you all 
okay?",0:29:27,0:29:24,0,AudioS200440.mpeg
,,"Dakaiot Lead, 
Dakaiot","Hum sab thik hai. Kal tera production hai. ,
Tujhe kaise pata?","We’re all fine. Your “production” is tomorrow. ,
How do you know?",0:29:23,0:29:20,0,AudioS200441.mpeg
,,Dakaiot Lead,"Yeh Paritosh Bhai bola. Sun, court ke samne 
pelenge us maderchod police officer ko.","Paritosh Bhai told me. Listen, we’ll take down that 
motherfucker police officer in front of the court.",0:29:19,0:29:15,0,AudioS200442.mpeg
,,Dakaiot,"E bhai e, hum pelenge maderchod...","Hey brother, we’ll take down that motherfucker...",0:29:14,0:29:13,0,AudioS200443.mpeg
,,Paritosh Sarakar,"Are are.. shon na, pelapeli shob pore korbi. Amr 
partner hobi? ","Hey hey… listen, you can do all the fighting later.",0:29:12,0:29:06,0,AudioS200444.mpeg
,,"Dakaiot,
Paritosh Sarkar, 
Dakaiot","Matlab? , Na mane... Britni chole jaoar por na, boro 
lonely lage. , Madarchod","What do you mean? , I mean… after Britni left, I feel 
very lonely. , , Motherfucker",0:29:03,0:28:55,0,AudioS200445.mpeg
,,Paritosh Sarkar,Partner chara na hoy prem... Na o jome....,"Without a partner, love doesn’t happen… It doesn’t 
feel right either.",0:28:54,0:28:45,0,AudioS200446.mpeg
,,,Thapoloji,Thapoloji,0:27:42,0:27:40,N/A,N/A
,,Commander ,Samman Guard! Salami... Shastr! Samman Guard!,Guard of Honor! Present... Arms! Guard of Honor!,0:27:39,0:27:26,0,AudioS200447.mpeg
,,Ganesh's Son,Sir baba ke keno shasti dilo?,Sir why did they punish father?,0:27:08,0:27:06,0,AudioS200448.mpeg
,,Animesh,"Shasti deyni beta. Tomar baba duty korte korte 
chole gelen to tai samman dichchhe.","They didn’t punish him son. Your father died while 
performing his duty, so they are honoring him.",0:27:05,0:26:59,1,AudioS200449.mpeg
,,Ganesh's Wife,"Kichchu nei. Kono samman nei policeder. Saradin 
shudhu kotha shono. Loke bari boye gal diye jeto. 
Kichchu nei... Kichchu nei sir ei chakrite.","There is nothing. There is no respect for the police. 
All day we only hear insults. People would even come 
to our homes just to abuse us. There is nothing… 
absolutely nothing in this job, sir.",0:26:58,0:26:42,0,AudioS200450.mpeg
,,Ganesh's Son,"Khobore dyakhachchhe baba boka chhilo. Babake 
sobai alur bosta bole dakto. Baba dourate pare na 
lorai korte pare na tai babake mere diyechhe.","The news shows that father was foolish. Everyone 
used to call him a sack of potatoes. Father couldn’t 
run and couldn’t fight, so they killed him.",0:26:40,0:26:29,0,AudioS200451.mpeg
,,Animesh,"Ami tomay kotha dichchhi beta. Proman kore debo 
tomar baba boka chhilen na. Haa?","I give you my word son. I will prove that your father 
was not a fool. Yes?",0:26:25,0:26:01,0,AudoS200452.mpeg
,,"Dakaiot, Animesh","Sunlam amake khunjchhen? , 
Dom thakle samne ese kotha bol.","I heard you are looking for me? ,
If you have the courage come and face me.",0:26:00,0:25:58,0,AudioS200453.mpeg
,,"Dakaiot, Animesh,
Dakaiot","Are samnei to thhe, apni to dhorte parlen na.  ,
Chhoddobesh keno? Gare eto bhoy kisher? ,
Kahe ki, hamar nojor abhi Bangal ki taraf.","I was right in front of you but you couldn’t catch me. ,
Why the disguise? What are you afraid of? ,
Because my sights are now set on Bengal.",0:25:55,0:25:47,0,AudioS200454.mpeg
,,Animesh,"Shon, shokuner nojor na bhagarer dike thaklei 
bhalo. Banglar dike nojor dile oi chokh duto gele 
debo.","It is better if a vulture keeps its eyes on the garbage 
heap. If you set your eyes on Bengal I will gouge 
them out.",0:25:46,0:25:41,1,AudioS200455.mpeg
,,Criminal,"Are apnar Bangal to waise bhi pura ganda ho 
chuka hai. O ki jeno bole? Sonar Bangla. To apnar 
ei Sonar Bangla se, sara sona hami lute libo. Ar 
pore thakbe sudhu Bangla. Rakhte hain, ha! Netaji 
ka salam!","Your Bengal is already filthy anyway. What do they 
call it? Golden Bengal. From your Golden Bengal I 
will loot all the gold. ",0:25:40,0:25:23,0,AudioS200456.mpeg
,,"Animesh, Guru","Shuorer bachcha ,
Netaji Zindabad! Netaji Zindabad!","You son of a pig! Sorry, Madam ,
Long live Netaji! Long live Netaji!",0:25:21,0:25:18,0,AudioS200457.mpeg
,,Nirjhar Singh,"Ek choti si bhet hamar taraf se. Pokriye na. Pokriye 
na. Nehi lenge?","A small gift from our side. Please take it. Will you not 
take it?",0:25:04,0:24:56,0,AudioS200458.mpeg
,,Animesh,Natok kore labh nei. Tor oi paaper taka ora nebe na,There is no point in this drama.,0:24:52,0:24:49,0,AudioS200459.mpeg
,,Nirjhar Singh,"Dakatder bachate nijeder lokke sacrifice kore 
dichchhen? Kono planning nei, kono strategy nei. Ki 
protection debe ei police amader?","You are sacrificing your own people to protect the 
dacoits? There is no planning and no strategy. What 
protection will these police give us?",0:24:43,0:24:32,0,AudioS200460.mpeg
,,Animesh,Public-er mathay oshantir jol dhalata bondho korun.,Stop spreading unrest among the public.,0:24:30,0:24:27,0,AudioS200461.mpeg
,,Nirjhar Singh,Hamko dhumki deta hai?,Are you threatening me?,0:24:26,0:24:25,0,AudioS200462.mpeg
,,Animesh,"Dhomki fomki bujhi na. Amr policy ektai. Aagu lath, 
pichhu baat. Samjhe? Ganesh-er poribarer pashe 
puro police department achhe. Tor tolabajir takar 
oder proyojon nei.","I do not understand threats. First the stick then the 
conversation. Understand? The entire police 
department stands with Ganesh’s family. They do not 
need your extortion money.",0:24:24,0:24:10,0,AudioS200463.mpeg
,,Guru,"Ae Inspector, jaban samle! Shala dakatder dhorte 
paroni ar Bhaiya ji ke dialogue march? Abhi k abhi 
full team er countdown chalu kori dibo?","Hey Inspector, watch your mouth! You couldn't catch the 
bandits and you're giving dialogue to Bhaiya ji? I can 
call my full team right now!",0:24:09,0:23:59,0,AudioS200464.mpeg
,,"Animesh, 
Nirjhar Singh","Tai naki? , 
Ei guru, shanti.","Is that so? , 
Calm down.",0:23:58,0:23:56,0,AudioS200465.mpeg
,,Nirjhar Singh,"Kajta thik korlen na, officer. Nirjhar Singh, naam 
ache amar",You did the wrong thing officer.,0:23:52,0:23:47,0,AudioS200466.mpeg
,,"Animesh,
Nirjhar Singh","Ek minute... Kotha dichchhi ek soptaher modhye 
Netajir gang dhorbo, noile marbo! Ar ekta naam 
amio mone koriye di, Bengal Police. Mone rakhish.
Ja, ja! ,
Chal","One minute...
I promise within one week we will catch Netaji’s gang, 
otherwise I'll die!And let me remind you of another 
name — Bengal Police. Remember it.Go, go!
Move.",0:23:45,0:23:27,0,AudioS200467.mpeg
,,Animesh,Natokbaji shala. ,Dramatic bastard. ,0:23:26,0:23:23,0,AudioS200468.mpeg
,,"Tarak, Jori","Hochhe na re... Are Baka Kaka shurshuri lagchhe. 
Bolchi na hochhe na! Katukutu lagche! Time to de 
baba! , Oto time nei.","It’s not working...
Hey Baka Kaka, it tickles.
I'm telling you it's not working!
It tickles!
Give us some time!
There isn't that much time.",0:22:59,0:22:45,0,AudioS200469.mpeg
,,"Tarak, Jori","Ki time nei? Oto time nei. Are baba bolchi to 
darachchhe na to. Are baba beche thakle to korbi re","What do you mean there isn’t time?
There isn’t time.
I'm telling you it's not opening.
Hey, if you stay alive then you'll be able to do it.",0:22:42,0:22:38,0,AudioS200470.mpeg
,,"Ins. Asim, Tarak, 
Jori, Tarak, 
Ins. Asim, Tarak, 
Jori, Ins. Asim","Ei! , O tomar mamashoshur , Huh? , Pronam koro,
pronam koro , Hey... palabi na. , O sir, ami kichu 
korini ,  K? , Palabi na","Hey!
That's your uncle-in-law.
Huh?
Pay your respects.
Hey… don’t run.
Sir, I didn’t do anything.
What?
Don’t run.",0:22:37,0:22:28,1,AudioS200471.mpeg
,,"Tarak, Ins. Asim, 
Tarak","Oh, sir, ami kichu korini bolchi to... , Ei palabi na...
ei tui palabi na, oye! Ei palabi na oye. Sorry madam 
bhul somoy ashi porichi. Sorry. Chol. , Ore Jori re...","Oh sir, I told you I didn’t do anything...
Hey don’t run!
Hey you don't run!
Hey don’t run!
Sorry madam, we came at the wrong time. Sorry.
Let's go.
Hey Jori...",0:22:27,0:22:16,0,AudioS200472.mpeg
,,Ins. Asim,"Bhalo kore dekh, maltare chinish kina?",Look carefully who this man is.,0:22:09,0:22:06,0,AudioS200473.mpeg
,,Tarak,Haa sir e-i Nasir.,Yes sir this is Nasir.,0:22:05,0:22:04,0,AudioS200474.mpeg
,,Nasir/Yasin,Ami Yasin. Ami Nasir.,I am Yasin. I am Nasir.,0:22:00,0:21:57,0,AudioS200475.mpeg
,,"Animesh, Ins.Asim","Karali babu, niye jan. Chol sala chol","Karali Babu, take him away. Come on you bastard, 
move.",0:21:56,0:21:52,0,AudioS200476.mpeg
,,"Animesh,
Nasir/Yasin, 
Animesh","Paliye giyechhili kothay? , toke marar plan 
korchilam! ,
huh?","Where did you run away to?
I was planning to kill you!
Huh?",0:21:51,0:21:48,0,AudioS200477.mpeg
,,Nasir/Yasin,"hey, inspector! tor boat e bomb blast ta ami 
koriyechi. (Kaam ho gaya)","Hey inspector! I was the one who arranged the bomb 
blast on your boat. (The job is done)",0:21:46,0:21:34,0,AudioS200478.mpeg
,,Animesh,"Oi dekho. Bitan... Bitan! Oke marle hobe na, 
information chai! Stop it! ","Look there. Bitan… Bitan!
We can't kill you yet, we need information!
Stop it!",0:21:30,0:21:15,0,AudioS200479.mpeg
,,"Ins. Bitan, Animesh","Sir, o amader marte cheyechhilo! , Jani!","He tried to kill us! , I know!",0:21:13,0:21:12,0,AudioS200480.mpeg
,,"Nasir/Yasin,
Animesh","Ki officer? Sentu kheye gelen to? Sentu kheye 
kono labh nei. Ager bare benche gelo, eibar ar 
bachte parben na. Tui benche thakle oneker 
khoti. , Ke marbe? Peyaji?","What officer? You got emotional? Getting emotional 
won’t help. He survived last time but this time he will 
not survive. If you stay alive many people will suffer. 
, Who will kill him? Peyaji?",0:21:02,0:20:51,0,AudioS200481.mpeg
,,Nasir/Yasin,"Are Sundarban-e to chhoto machh, eibar khela 
hangor ar kumir-er sathe. Jharr bhi nehi ukhad 
payega.","In the Sundarbans there are small fish but this time 
the game is with sharks and crocodiles.",0:20:50,0:20:42,0,AudioS200482.mpeg
,,Animesh,"Bokachoda ebar puro bagan jaliye debo. Ekta kotha 
bol, Sundarban blast-er somoy tui eka chhili na 
onno keu chhilo?","This time I will burn the whole garden down. Tell me 
one thing, during the Sundarbans blast were you 
alone or was someone else there?",0:20:41,0:20:32,0,AudioS200483.mpeg
,,Nasir/Yasin,"E khelay, anek khiladi ache officer. Anek!","This game has many players, officer. Many.",0:20:30,0:20:26,0,AudioS200484.mpeg
,,"Animesh, 
Nasir/Yasin, 
Ins. Badal,
Nasir/Yasin","Kara tara? ,
Jani na.  ,
Bol ,
Bolchi!","Who are they?
I don’t know.
Speak.
I’m telling you!",0:20:23,0:20:17,0,AudioS200485.mpeg
,,"Animesh, 
Nasir/Yasin, 
Animesh","Abr bitan...  
Bolchi... ,
Bitan tham. Baire ja. ja. Kire Bolbi?","Again Bitan…I’m telling you…Bitan, stop. Go outside. 
So, will you speak?",0:20:13,0:19:58,0,AudioS200486.mpeg
,,"Nasir/Yasin,
Animesh","700 aadmi ache. Kake kake khujben officer? Sobke 
ami khuje khuje enechi. Keu Bengal, keu Bihar keu 
pardesh. Ar officer, e kaarbaarer pichone lagte 
jaash na. E kaarbaar kintu bohudur tak choriya 
ache. Jaane khotom hoye jabi! ,
Netaji kothay? ","There are 700 men. Who will you look for, officer? All 
of them have been brought by me. Some from 
Bengal, some from Bihar, some from other states. 
And officer, do not go after this business. This 
operation is spread very far. You will lose your life.
Where is Netaji?",0:19:56,0:19:34,0,AudioS200487.mpeg
,,"Nasir/Yasin, 
Animesh","Jani na... Amake mere phello ami Netaji-r sathe 
gaddari korbe na. ,
Keno re?","I don’t know… Kill me if you want, but I will not betray 
Netaji. Why?",0:19:33,0:19:25,0,AudioS200488.mpeg
,,Nasir/Yasin,"Karon jante chas? Hyan? Karon janle tor payer 
tolay jomin khisok jabe. Ami field-e kaj korar jonno 
pai 20 lakh. Amar under-e je chhelera kaj kore na 
tara pay 10 lakh. Ar operation-er somoy jodi kono 
permanent damage hoye jay karor mane more jabe 
or family-ke 25 lakh ar lifetime pension. Bol! Ke 
debe eta? Tor sarkar debe? sala chamchalok","You want to know the reason? If you knew the ground 
under your feet would shake. I get 20 lakh for working 
in the field. The boys working under me get 10 lakh. If 
someone dies during an operation their family gets 25 
lakh and lifetime pension. Tell me who will give that? 
Will your government?",0:19:24,0:18:59,0,AudioS200489.mpeg
,,Ins. Badal,Parallel government chalachhe criminal-gulo.,These criminals are running a parallel government.,0:18:57,0:18:55,0,AudioS200490.mpeg
,,Nasir/Yasin,"Ekhono somoy ache. Ekhono somoy ache... ei  
case theke beriye ja, officer. Nahole tora keu bachbi 
na. Keu na. Sala","There is still time. There is still time... get out of this 
case, officer. Otherwise none of you will survive. Not a 
single one. Damn it.",0:18:54,0:18:47,0,AudioS200491.mpeg
,,Ins. Damayanti,Apni thik achhen?,Are you okay?,0:18:31,0:18:30,0,AudioS200492.mpeg
,,Ins. Bitan,"Orokom ekta ghotonar por ar thik thaka jay na. 
Amar puro life-ta hell kore dilo. Ekhono prottek ta 
din suffer kor... Sorry","After an incident like that it is impossible to be okay. 
They made my whole life hell.",0:18:20,0:18:02,0,AudioS200493.mpeg
,,Animesh,"Bosh bosh. Er khesarot aro ekjon dichchhe. Hello 
kemon achhen? Ami? Achi. Shunun apni chakri join 
korben amar kotha hoye gechhe. Apni amar team 
er songe jooin korben to? She pore hobe age to 
ashun. Hmm, rakhchi","Sit down. Someone else is also paying the price. 
Hello how are you? Listen you will join the job I have 
already arranged it. You will join my team right? 
We will discuss that later first come here.",0:18:01,0:17:32,0,AudioS200494.mpeg
,,Ins. Bitan,"Sir Naihati location-er tower dump kora hoyechhe. 
Ei sat-ta number mark kora hoyechhe. Tar modhye 
ekta bishesh number ekbar matro on hoye off hoye 
giyechhilo. Track kore dekhlam ota frequently jayga 
change korchhe. Ranaghat ar Raniganj-e o oi 
number-ta active chhilo sir.","Sir the tower dump of the Naihati location is done. 
Seven numbers have been marked. Among them one 
number turned on only once and then turned off. 
After tracking it we saw it frequently changes 
locations. That number was active in Ranaghat and 
Raniganj as well.",0:17:28,0:17:14,0,AudioS200495.mpeg
,,"Animesh,
Ins. Bitan,
Animesh","E kono personal number hobe. Ki janish... police 
hok ba dakat bou phone korle phone dhorteyi hoy. ,
Ami etar subscriber details ber korchhi sir. ,
Haa... ,","This must be a personal number. You know whether 
police or dacoit if the wife calls you must pick up. ,
I am retrieving the subscriber details. ,
Yes... ,",0:17:13,0:17:02,1,AudioS200496.mpeg
,,"Ins. Damayanti,
Animesh","Sir ekta kotha apnar Naihati showroom-er oi 
meyeta-ke mone achhe? Oi jar hate guli legechhilo 
Sonali? , Hyan ki hoyechhe?","Sir one more thing do you remember the girl from the 
Naihati showroom? The one who was shot in the 
hand Sonali? , Yes what happened?",0:17:01,0:16:55,0,AudioS200497.mpeg
,,Ins. Damayanti,"O operation-er age kemon ekta korchhilo. Tarpor 
panic attack-o hoy. Something is wrong, sir.","She was acting strange before the operation. Then 
she had a panic attack. Something is wrong, sir.",0:16:54,0:16:48,0,AudioS200498.mpeg
,,"Animesh,
Ins. Damayanti,
Animesh","Meyeta ekhon kothay? ,
Naihati-r i ekta hospital-e. ,
Chol dekha korbo.","Where is the girl now? ,
In a hospital in Naihati. ,
Let’s go meet her.",0:16:47,0:16:43,0,AudioS200499.mpeg
,,Ins. Damayanti,Shonali ini amar sir,Shonali he is my sir,0:16:35,0:16:34,0,AudioS200500.mpeg
,,Animesh,"Dekh ma tui jodi dakati’r byapare kichu jene thakis 
toh bol investigation’e subidha hobe. Aamra kotha 
dichhi tor kono khoti hote debo na","Look if you know anything about the robbery tell us it 
will help the investigation. We promise we will not let 
any harm come to you",0:16:30,0:16:21,0,AudioS200501.mpeg
,,"Sonali,
Ins. Damayanti","Sir ami oder modhye ekjonke chini ,
Dekho toh eder modhye kauke chinte parcho?","Sir I know one of them ,
Look can you recognize anyone among them",0:16:19,0:16:12,0,AudioS200502.mpeg
,,"Sonali, Animesh","Ei chheleta. , Ki naam?","This boy. , What is his name?",0:16:04,0:16:02,0,AudioS200503.mpeg
,,Sonali,"Or naam amake bolechhilo Sagar ashol naam ami 
jani na","He told me his name was Sagar I do not know his 
real name",0:16:01,0:15:57,0,AudioS200504.mpeg
,,Animesh,E kotha ta age bolis ni keno?,Why did you not say this earlier?,0:15:55,0:15:54,0,AudioS200505.mpeg
,,Sonali,"Sir or kache amar video royechhe sir amake 
blackmail korechhilo. Threat diyechhilo amake. 
Ekdin amake call kore park e dekha korte 
bolechhilo. 
Tumi? Tumi hotat ekhane dekha korte bolle keno 
dokanei toh aste parte","Sir he has my video he blackmailed me. He 
threatened me. One day he called me and asked me 
to meet in the park. 
Why did you suddenly call me here to meet you you 
could have come to the shop?",0:15:52,0:15:26,0,AudioS200506.mpeg
,,Sagar,"Dokane? ka baat kar rehi ho? Dokan mein nehi 
hoga. Asol mein ki hochhe jano toh tumi roj amar 
shopne ascho. Bhablam jake roj shopne dekhchi 
take amne samne dekhe ektu somoy tomoy katai","In the shop what are you saying it cannot happen in 
the shop. Do you know what is happening you appear 
in my dreams every day. I thought the person I see in 
my dreams every day I should spend some time with 
her in person",0:15:25,0:15:13,1,AudioS200507.mpeg
,,Sonali,"Kintu tumi bolchhile tomar maa tomar jonno meye 
dekhchhen","But you said your mother was looking for a girl for 
you",0:15:12,0:15:10,0,AudioS200508.mpeg
,,"Sagar, Sonali","Dekhchhilen. Payeni. Toh bollam tomar kotha. ,
Ki bolle?","She was looking but did not find one. So I told her 
about you. , What did you say?",0:15:07,0:15:02,0,AudioS200509.mpeg
,,Sagar,"Shonar dokane Shonali roj shopne asche ektu 
problem hoye jacche na.","Shonali from the jewelry shop you appear in my 
dreams every day it is becoming a problem",0:15:00,0:14:55,0,AudioS200510.mpeg
,,"Sonali, Sagar, Sonali","Achha, Ha. , Esho tomak bolchi. , Thik ache ami 
bosechi bosechi",Okay fine I am sitting I am sitting,0:14:54,0:14:52,0,AudioS200511.mpeg
,,"Sagar, Sonali","Toh amar ghor Birbhum. Abhi idhar hi Naihati mein. 
Shaman potro shob oikhanei ache. , Achha. , Toh 
ma ekta idea dilo bolchhe ja ache uthe giye 
propose kore de. Ek minute... tomar jonno...","My home is in Birbhum now I am here in Naihati. All 
my belongings are there. My mother gave me an 
idea she said go and propose whatever is in your 
mind. For you...",0:14:44,0:14:22,0,AudioS200512.mpeg
,,Sonali,"Achha thik ache kintu eto dami ekta chain ami nebo 
na tomar theke. Please tumi rakho. Aar ta chara 
tomaye ekhono chini na ami bhalo kore.","Okay fine but I will not take such an expensive chain 
from you. Besides I do not know you well yet.",0:14:19,0:14:11,0,AudioS200513.mpeg
,,Sagar,"Achha chino na? Biswas hochhe na amake? 
Bharosa nehi hain?","Oh you do not know me you do not trust me. No 
trust?",0:14:10,0:14:06,0,AudioS200514.mpeg
,,Sonali,Na na serom byapar noy ami kokhon bollam sheta,No it is not like that when did I say that,0:14:04,0:14:01,0,AudioS200515.mpeg
,,Sagar,"Cholo dekhe nebe cholo cholo dekhe nebe cholo. 
Aore badhiya sa room hai ka. Are baitho relax karo.
Are baitho na ka kar rahe ho baitho. Utarna yeh...","Come you will see come come and see. Hey is it a 
nice room. Hey sit relax. Hey sit what are you doing 
sit. Not there",0:14:00,0:13:31,0,AudioS200516.mpeg
,,Sonali,Ami bari jabo ami ekhane ektuo comfortable na,I want to go home I am not comfortable here,0:13:30,0:13:28,0,AudioS200517.mpeg
,,Sagar,"Are thik hai,  thik hain koi baat nehi. Asho na 
baitho na baat chit karte hai thoda baitho. Dekho 
toh. Hai saala til bhi hain! Ka perfume lagate hain.
Ei, ei","Okay fine it is okay no problem. Come sit let us talk a 
little sit. Look",0:13:27,0:12:52,0,AudioS200518.mpeg
,,Sonali,Chharo chharo. help!,Leave me leave me,0:12:50,0:12:49,0,AudioS200519.mpeg
,,Sagar,"Agar kisi ko is baare mein bata diya na toh yeh 
video jayega social media mein ","If you tell anyone about this the video will go to 
social media",0:12:29,0:12:22,0,AudioS200520.mpeg
,,Animesh,"Relax. Bitan je phone number gulo track korechhe 
tar konotar shonge ei chheletar number match kore 
kina dekh. Maal take tui tulbi eta tor assignment!","Relax. Check if any of the numbers Bitan tracked 
match this boy’s number. You will pick him up this is 
your assignment",0:12:14,0:12:00,0,AudioS200521.mpeg
,,"Ins. Damayanti,
Animesh","Sir ami? ,
Keno parbi na? Oh tui ekta kaaj kor Bitan ke phone 
kore jiggesh kor oi Peyaji r location identify korte 
parlo kina","Sir me? ,
Why can’t you do it? Call Bitan and ask if he identified 
Peyanji’s location",0:11:59,0:11/51,1,AudioS200522.mpeg
,,"Dakaiot 1, Dakaiot 2,
Dakaiot 1","Oi khene. , Matha khas na khida nei. , 
Are kha na bhai. Tora keu khacchis na keno bol to?","Hey have food. , Do not bother me I will not eat. ,
Come on eat brother Why is no one eating?",0:11:47,0:11:40,0,AudioS200523.mpeg
,,Dakaiot 3,"Kuch thik nahi lag raha hai Nasir bhai ko toh police 
ne pakad liya","Something does not feel right The police have 
caught Nasir Bhai",0:11:38,0:11:35,0,AudioS200524.mpeg
,,Dakaiot 4,Chinta mat kar Netaji hai na sab samle nebe,Do not worry Netaji is there He will handle everything,0:11:33,0:11:28,0,AudioS200525.mpeg
,,Dakaiot ,Kotokhon ar?,How Long?,0:10:43,0:10:42,0,AudioS200526.mpeg
,,"Ins. Bitan, Animesh, 
Ins. Asim","Sonali r kach theke pawa number er songe Naihati 
r sonapotti r pawa ekta number er location match 
kore geche. Ekta number move korche Malda r 
dike aar shatta number er modhye arekta number 
move korche Dhanbad er dike,
Ekta kaj korun. , Hello sir","A number we got from Sonali matches a location from 
a number found in Naihati Sonapotti. One number is 
moving toward Malda and another of the seven 
numbers is moving toward Dhanbad ,
Do one thing. , Hello sir",0:10:27,0:10:15,0,AudioS200527.mpeg
,,Animesh,"Apni Badal ke niye Dhanbad er lead follow korun. 
Aar tui, Damayanti, tui ekta kaj kor, tui Malda chole 
ja. Local police er sahajyo niye chhele guloke tule 
aan","Take Badol and follow the Dhanbad lead. And you 
Damayanti go to Malda. With the help of the local 
police round up those boys",0:10:14,0:10:04,0,AudioS200528.mpeg
,,Ins. Damayanti,"Sir ekta request ache Sir I want Bitan on this 
operation",Sir I have a request I want Bitan on this operation,0:10:03,0:09:58,0,AudioS200529.mpeg
,,"Ins. Bitan, Animesh","Na na sir ekhane toh monitoring er kaj royeche. ,
Se sob hoye jabe","No sir there is monitoring work here. ,
That will be handled",0:09:45,0:09:43,0,AudioS200530.mpeg
,,"Ins. Bitan, Animesh","Apni toh sob janen. , Sob jani bolei toh bolchi","You already know everything. , 
I am saying this because I know everything",0:09:37,0:09:34,0,AudioS200531.mpeg
,,Ins. Damayanti,Bitan apni gele amar subidhe hobe. Please?,Bitan it will help me if you go Please,0:09:33,0:09:29,0,AudioS200532.mpeg
,,"Ins. Bitan, Animesh","Sir ami ekhaneyi comfortable sir. Ekhaneyi amake 
thakte din na. Ja",Sir I am comfortable here Please let me stay here,0:09:27,0:09:21,0,AudioS200533.mpeg
,,Ins. Bitan,"Sir ami apnake ageo bolechilam amader aro 
manpower dorkar sir",Sir I told you earlier we need more manpower,0:09:20,0:09:15,0,AudioS200534.mpeg
,,"Animesh, Ins. Bitan,
Animesh","Manpower? , Haa sir... , Puro powerhouse asche ",Manpower A whole powerhouse is coming,0:09:14,0:09:11,1,AudioS200535.mpeg
,,Ins. Asim,"Ei building kaptese keno? Bhumikompo hotese 
naki? Sir palan! sir palan! Sir apod ashi gise!","Why is the building shaking? Is it an earthquake? 
Sir run! sir run! Sir trouble is coming",0:08:55,0:08:38,1,AudioS200536.mpeg
,,Ins. Madhabi,Hutt! Sir!,Huh! Sir!,0:08:36,0:08:35,0,AudioS200537.mpeg
,,Animesh,Ei to! Are thik ache thik ache,It is okay it is okay,0:08:34,0:08:32,0,AudioS200538.mpeg
,,"Ins. Madhabi, 
Animesh,
Ins. Madhabi","Sir ami kono dosh korini sir. , Ha jani. , Bishwas 
koren ami kintu kishhu korini. Apni amare 
bachaichen sir","Sir I did nothing wrong Believe me I did nothing. You 
saved me sir",0:08:30,0:08:24,0,AudioS200539.mpeg
,,Animesh,Apato to chup koren Chup koren,Be quiet for now Be quiet,0:08:23,0:08:22,0,AudioS200540.mpeg
,,"Ins. Madhabi, 
Ins. Bitan","Kemon achen Bitan babu? Bhalo? , Hmm","How are you Mr Bitan? Good? , Hmm",0:08:18,0:08:14,0,AudioS200541.mpeg
,,Ins. Madhabi,"Sir jemni amare bollo ami omni somosto bag potro 
sob niye chole eshechi. Ki korte hobe bolen sir?","Sir as soon as you told me I brought all my bags and 
belongings. Tell me what needs to be done sir?",0:08/13,0:08:09,0,AudioS200542.mpeg
,,"Animesh, 
Ins. Madhabi","OC Ganesh Das khobor ta shunechhen? , Haa","OC Ganesh Das Have you heard the news? , Yes",0:08:08,0:08:02,0,AudioS200543.mpeg
